2022-06-29 12:45:36,367 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-06-29 12:45:36,605 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-06-29 12:45:37,238 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Screenshot (/usr/share/applications/xfce4-screenshooter.desktop) Exec ['xfce4-screenshooter']
2022-06-29 12:45:37,242 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-06-29 13:02:43,881 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-06-29 13:02:43,881 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-06-29 13:02:43,881 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-06-29 13:02:44,289 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-06-29 13:02:44,417 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-06-29 13:02:44,535 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-06-29 13:02:44,612 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-06-29 13:02:44,613 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-06-29 13:02:44,700 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-06-29 13:02:45,200 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application NVIDIA X Server Settings (/usr/share/applications/nvidia-settings.desktop) Exec ['/usr/bin/nvidia-settings']
2022-06-29 13:02:45,206 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
